"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 02 19:40:01 IST 2023","Wed Aug 02 19:40:05 IST 2023","4253","","","","","","test_login",""
"passed","Wed Aug 02 19:45:08 IST 2023","Wed Aug 02 19:45:08 IST 2023","545","Test_Cases","test_login_credkart","Test_Credkart_login","","","test_page_title",""
"passed","Wed Aug 02 19:45:07 IST 2023","Wed Aug 02 19:45:13 IST 2023","5969","Test_Cases","test_login_credkart","Test_Credkart_login","","","test_login",""
